COUNTRY,HDI,FERTILITY RATE,FEMALE LITERACY,FEMALE LABOR PARTICIPATION,GDP PER CAPITA,URBANIZATION RATE,CHILD MORTALITY,MEAN AGE AT FIRST BIRTH,YEARS
Afghanistan,0.496,4.8,0.266,0.05,413.8,0.27,56,19.9,2023
Albania,0.81,1.3,0.983,0.53,10011.6,0.65,9,26.6,2023
Algeria,0.763,2.8,0.742,0.14,5631.2,0.75,22,31.4,2023
Andorra,0.913,1.1,,,49303.7,0.88,3,32.8,2023
Angola,0.616,5.1,0.625,0.73,2122.1,0.69,64,19.4,2023
Antigua and barbuda,0.851,1.6,,,23725.8,0.24,9,,2023
Argentina,0.865,1.5,0.991,0.53,13858.2,0.92,10,31,2023
Armenia,0.811,1.9,1,0.57,8500.6,0.64,10,25.2,2023
Australia,0.958,1.5,0.962,0.62,64407.5,0.87,4,28.7,2023
Austria,0.93,1.3,0.962,0.56,56833.2,0.6,3,29.7,2023
Azerbaijan,0.789,1.6,1,0.61,7283.8,0.58,19,24,2023
Bahamas,0.82,1.4,0.955,0.67,39455.4,0.84,13,18.6,2023
Bahrain,0.899,1.8,0.96,0.43,30048.2,0.9,9,29.9,2023
Bangladesh,0.685,2.2,0.74,0.44,2593.4,0.4,31,26.8,2023
Barbados,0.811,1.7,,0.6,25365.8,0.31,10,,2023
Belarus,0.824,1.2,1,0.57,8316.6,0.81,2,26.8,2023
Belgium,0.951,1.5,0.99,0.5,55954.6,0.98,4,29.2,2023
Belize,0.721,2,0.916,0.49,8429.7,0.47,13,27.2,2023
Benin,0.515,4.6,0.364,0.74,1485.4,0.5,78,20.5,2023
Bhutan,0.698,1.5,0.639,0.57,3839.4,0.44,23,31.4,2023
Bolivia,0.733,2.5,0.91,0.72,4001.2,0.71,23,21.1,2023
Bosnia and Herzegovina,0.804,1.5,0.971,0.4,8957.4,0.5,6,27.7,2023
Botswana,0.731,2.7,,0.63,7695.2,0.73,40,,2023
Brazil,0.786,1.6,0.949,0.53,10280.3,0.88,14,27.1,2023
Brunei Darussalam,0.837,1.7,0.969,0.54,33417.8,0.79,9,,2023
Bulgaria,0.845,1.8,0.982,0.51,17412.4,0.77,6,26.4,2023
Burkina Faso,0.459,4.2,0.291,0.41,987.3,0.33,77,19.4,2023
Burundi,0.439,4.9,0.694,0.8,153.9,0.15,49,21.5,2023
Cabo Verde,0.668,1.5,0.876,0.5,5272.9,0.68,12,,2023
Cambodia,0.606,2.6,0.797,0.74,2627.9,0.26,23,22.4,2023
Cameroon,0.588,4.3,0.731,0.57,1762.4,0.59,67,20.1,2023
Canada,0.939,1.3,0.827,0.61,54282.6,0.82,5,29.4,2023
Central African Republic,0.414,6,0.262,0.66,516.2,0.44,92,28.8,2023
Chad,0.416,6.1,0.189,0.49,1016.1,0.24,101,18.1,2023
Chile,0.878,1.2,0.971,0.52,16709.9,0.88,7,27.9,2023
China,0.797,1,0.95,0.6,13303.1,0.65,6,27.5,2023
Colombia,0.788,1.6,0.96,0.52,7914,0.82,12,21.7,2023
Comoros,0.603,3.9,0.569,0.41,1784.1,0.3,40,23,2023
Congo,0.649,4.2,0.754,0.66,2482.2,0.69,41,19.6,2023
Congo (Democratic Republic of),0.522,6.1,0.717,0.62,647.4,0.47,73,19.9,2023
Costa Rica,0.833,1.3,0.981,0.44,18587.2,0.83,11,27.9,2023
Cote d'Ivoire,0.582,4.3,0.403,0.59,2709.9,0.53,67,19.6,2023
Croatia,0.889,1.5,0.992,0.47,23931.5,0.59,5,29,2023
Cuba,0.762,1.4,0.997,0.4,9605.3,0.78,8,27.5,2023
Cyprus,0.913,1.4,0.992,0.62,38654.2,0.67,4,30,2023
Czechia,0.915,1.4,,0.53,31706.6,0.75,3,28.5,2023
Denmark,0.962,1.5,0.99,0.6,71851.8,0.88,3,29.8,2023
Djibouti,0.513,2.6,,0.19,3496.5,0.79,50,,2023
Dominica,0.761,1.5,0.956,,10405.3,0.72,36,25.7,2023
Dominican Republic,0.776,2.2,0.956,0.52,10875.7,0.84,31,20.9,2023
Ecuador,0.777,1.8,0.93,0.53,6874.7,0.65,13,27.4,2023
Egypt,0.754,2.8,0.689,0.15,3338.5,0.43,18,22.6,2023
El Salvador,0.678,1.8,0.88,0.47,5579.7,0.75,10,20.8,2023
Equatorial Guinea,0.674,4.1,0.945,0.53,6745.4,0.74,71,28.1,2023
Eritrea,0.503,3.7,0.689,0.72,688.7,0.43,35,21.3,2023
Estonia,0.905,1.3,0.999,0.61,31170.1,0.7,2,28.2,2023
Eswatini,0.695,2.8,0.904,0.45,3936.1,0.25,45,,2023
Ethiopia,0.497,4,0.404,0.57,1011.1,0.23,47,19.3,2023
Fiji,0.731,2.3,0.924,0.39,71774.4,0.59,29,28.72,2023
Finland,0.948,1.3,1,0.57,6288.4,0.86,2,29.5,2023
France,0.92,1.7,0.962,0.52,53188.6,0.82,4,28.9,2023
Gabon,0.733,3.6,0.85,0.42,8218.8,0.91,33,19.6,2023
Gambia,0.524,4,0.523,0.45,908.5,0.64,44,20.7,2023
Georgia,0.844,1.8,1,0.55,9193.7,0.61,9,25.9,2023
Germany,0.959,1.4,0.99,0.56,55800.2,0.78,4,29.9,2023
Ghana,0.628,3.4,0.762,0.62,2405.8,0.59,37,20.7,2023
Greece,0.908,1.3,0.974,0.45,24752.1,0.81,4,30.7,2023
Grenada,0.791,1.5,,,11871.6,0.37,18,,2023
Guatemala,0.662,2.3,0.786,0.4,6150,0.53,21,20.6,2023
Guinea,0.5,4.2,0.313,0.42,1717,0.38,95,19.9,2023
Guinea-Bissau,0.514,3.8,0.41,0.56,963,0.45,69,,2023
Guyana,0.776,2.4,0.897,0.4,29883.6,0.27,26,20.8,2023
Haiti,0.554,2.7,0.639,0.6,2142.6,0.6,55,22.4,2023
Honduras,0.645,2.5,0.89,0.4,3426.4,0.6,16,20.3,2023
Hong Kong,0.955,0.8,0.896,0.52,54107,1,,29.8,2023
Hungary,0.87,1.5,0.991,0.54,23310.8,0.73,4,28.4,2023
Iceland,0.972,1.6,0.99,0.7,82703.9,0.94,3,28.7,2023
India,0.685,2,0.7,0.31,2696.7,0.36,28,21.2,2023
Indonesia,0.728,2.1,0.95,0.53,4925.4,0.59,21,22.4,2023
Iran,0.799,1.7,0.849,0.14,4771.4,0.77,12,27.5,2023
Iraq,0.695,3.2,0.763,0.11,6073.6,0.72,23,29.5,2023
Ireland,0.949,1.5,0.962,0.6,107316.3,0.64,4,30.9,2023
Israel,0.919,2.9,0.98,0.62,88328.5,0.93,3,27.7,2023
Italy,0.915,1.2,0.99,0.41,54176.7,0.72,3,31.4,2023
Jamaica,0.72,1.4,0.908,0.61,7019.7,0.57,19,21.2,2023
Japan,0.925,1.2,0.99,0.55,32475.9,0.92,2,30.7,2023
Jordan,0.754,2.6,0.92,0.14,4618.1,0.92,13,24.6,2023
Kazakhstan,0.837,3,0.998,0.67,14005.3,0.58,10,28.9,2023
Kenya,0.628,3.2,0.803,0.62,2206.1,0.3,40,20.3,2023
Kiribati,0.644,3.1,0.986,,2288.6,0.58,55,23.1,2023
South Korea,0.937,0.7,0.984,0.56,33121.4,0.81,3,32.2,2023
Kuwait,0.852,1.5,0.95,0.49,7299.4,1,9,31.4,2023
Kyrgyzstan,0.72,2.7,0.995,0.53,32213.9,0.38,17,22.6,2023
Laos,0.617,2.4,0.834,0.61,2124,0.38,39,26.9,2023
Latvia,0.889,1.4,0.999,0.55,23367.6,0.69,3,27.3,2023
Lebanon,0.752,2.2,0.9,0.28,3477.7,0.89,18,29.4,2023
Lesotho,0.55,2.7,0.898,0.49,971.8,0.3,59,20.9,2023
Liberia,0.51,4,0.341,0.72,846.3,0.54,73,19.1,2023
Libya,0.721,2.4,,0.33,6318.4,0.82,31,,2023
Liechtenstein,0.938,1.4,,,207973.6,0.15,,31.3,2023
Lithuania,0.895,1.2,0.998,0.58,29386.3,0.69,3,28.2,2023
Luxembourg,0.922,1.3,1,0.57,137516.6,0.92,2,31,2023
Madagascar,0.487,4,0.76,0.83,545,0.41,65,19.5,2023
Malawi,0.517,3.6,0.651,0.63,508.4,0.18,38,19.1,2023
Malaysia,0.819,1.6,0.95,0.52,11867.3,0.79,8,27.9,2023
Maldives,0.766,1.6,0.984,0.41,13215.5,0.42,6,23.2,2023
Mali,0.419,5.6,0.22,0.58,1086.2,0.46,91,19.2,2023
Malta,0.924,1.1,0.964,0.55,42347.3,0.95,6,29.3,2023
Marshall Islands,0.733,2.9,,,7466.7,0.79,28,,2023
Mauritania,0.563,4.7,0.622,0.26,2082.8,0.58,38,21.8,2023
Mauritius,0.806,1.4,0.905,0.43,11871.7,0.41,15,,2023
Mexico,0.789,1.9,0.94,0.47,14157.9,0.82,13,21.3,2023
Micronesia,0.615,2.7,,,4166,0.23,23,,2023
Moldova,0.785,1.7,0.995,0.7,7617.5,0.43,15,25.2,2023
Mongolia,0.747,2.7,0.99,0.54,6691.5,0.69,14,20.5,2023
Montenegro,0.862,1.7,0.985,0.42,12935.5,0.69,3,26.3,2023
Morocco,0.71,2.2,0.691,0.2,3993.4,0.65,17,24.6,2023
Mozambique,0.493,4.8,0.49,0.78,647.3,0.39,62,19.2,2023
Myanmar,0.609,2.1,0.86,0.41,1359.3,0.32,39,24.7,2023
Namibia,0.665,3.2,0.923,0.55,4413.1,0.55,41,21.6,2023
Nauru,0.703,3.3,,,13421.8,1,9,,2023
Nepal,0.622,2,0.633,0.28,1447.3,0.22,27,20.4,2023
Netherlands,0.955,1.4,0.962,0.63,68218.7,0.93,4,30.2,2023
New Zealand,0.938,1.6,0.99,0.67,48747,0.87,5,27.8,2023
Nicaragua,0.706,2.2,0.828,0.5,2847.5,0.6,13,19.2,2023
Niger,0.419,6.1,0.297,0.6,722.7,0.17,115,18.5,2023
Nigeria,0.56,4.5,0.533,0.81,806.9,0.54,105,20.4,2023
North Macedonia,0.815,1.5,0.978,0.42,9310,0.59,3,26.9,2023
Norway,0.97,1.4,1,0.62,86809.7,0.84,2,29.8,2023
Oman,0.858,2.5,0.95,0.31,20248.4,0.88,10,26.6,2023
Pakistan,0.544,3.6,0.46,0.24,1484.7,0.38,59,22.8,2023
Palau,0.786,1.9,0.96,,15899.4,0.82,22,26.6,2023
Palestine,0.674,3.3,,,,,,,2023
Panama,0.839,2.1,0.95,0.53,19102.9,0.7,13,26.6,2023
Papua New Guinea,0.576,3.1,0.616,0.51,3076.5,0.14,40,21.9,2023
Paraguay,0.756,2.4,0.94,0.59,8452.4,0.63,17,22.9,2023
Peru,0.794,2,0.92,0.65,3984.8,0.79,16,21.9,2023
Philippines,0.72,1.9,0.97,0.5,3984.8,0.48,27,23.6,2023
Poland,0.906,1.2,0.998,0.52,25022.7,0.6,4,27.9,2023
Portugal,0.89,1.4,0.959,0.55,28844.5,0.94,3,29.9,2023
Qatar,0.886,1.7,0.98,0.63,76275.9,0.99,6,29.6,2023
Romania,0.845,1.7,0.99,0.42,20072.4,0.55,7,27.1,2023
Russia,0.832,1.4,1,0.55,14889,0.75,5,25.2,2023
Rwanda,0.578,3.7,0.77,0.58,999.7,0.18,40,23,2023
Saint Kitts and Nevis,0.84,1.5,,,22771.4,0.31,16,,2023
Saint Lucia,0.748,1.4,,0.63,14181.6,0.19,16,,2023
Saint Vincent and the Grenadines,0.798,1.8,,0.56,11501.2,0.54,11,,2023
Samoa,0.708,3.8,0.993,0.31,4898.8,0.18,16,,2023
San Marino,0.915,1.1,1,,54264.6,0.98,1,31.9,2023
Sao Tome and Principe,0.637,3.6,0.911,0.23,3244.8,0.76,14,19.4,2023
Sauda Arabia,0.9,2.3,0.96,0.34,35057.2,0.85,6,31.6,2023
Senegal,0.53,3.8,0.471,0.37,1744,0.5,39,21.9,2023
Serbia,0.833,1.6,0.99,0.5,13523.7,0.57,5,28.2,2023
Seychelles,0.848,2,0.967,,17858.8,0.59,14,,2023
Sierra Leone,0.467,3.8,0.413,0.52,873.4,0.44,94,19.6,2023
Singapore,0.946,1,0.96,0.62,90674.1,1,2,30.5,2023
Slovakia,0.88,1.5,0.999,0.56,26147.9,0.54,6,27.2,2023
Slovenia,0.931,1.5,0.999,0.54,34089.4,0.56,2,29,2023
Solomon Islands,0.584,3.6,,0.82,2149.4,0.26,21,22.6,2023
Somalia,0.404,6.1,0.44,0.21,637,0.48,104,,2023
South Africa,0.741,2.2,0.89,0.53,6253.4,0.69,35,27.5,2023
South Sudan,0.388,3.9,0.289,0.71,1080.1,0.21,99,28.6,2023
Spain,0.918,1.1,0.98,0.53,35297,0.82,3,31.2,2023
Sri Lanka,0.776,2,0.92,0.32,4515.6,0.19,6,25.6,2023
Sudan,0.511,4.3,0.561,0.14,989.3,0.39,50,29.2,2023
Suriname,0.722,2.2,0.934,0.45,7430.7,0.66,16,,2023
Sweden,0.959,1.4,1,0.62,57723.2,0.89,3,29.7,2023
Switzerland,0.97,1.3,0.99,0.62,103669.9,0.74,4,31.1,2023
Syria,0.564,2.7,0.92,0.13,847.4,0.57,21,26.22,2023
