"COUNTRY,Predicted Fertility Rate 2024"
"Afghanistan,4.655600000000002"
"Albania,1.6753"
"Algeria,2.4886999999999992"
"Angola,5.087099999999996"
"Argentina,1.9696000000000031"
"Armenia,2.1188000000000007"
"Australia,1.8067999999999986"
"Austria,1.6057999999999995"
"Azerbaijan,1.8052000000000015"
"Bahamas,1.871700000000001"
"Bahrain,1.887199999999999"
"Bangladesh,2.1751000000000014"
"Belarus,1.5042000000000006"
"Belgium,1.7804999999999995"
"Belize,2.271900000000001"
"Benin,5.051700000000006"
"Bhutan,1.9037"
"Bolivia,2.248966666560001"
"Bosnia and Herzegovina,1.4887000000000008"
"Brazil,1.8112000000000021"
"Bulgaria,1.6169000000000002"
"Burkina Faso,4.3553999999999995"
"Burundi,4.747599999999995"
"Cambodia,2.3816666666400015"
"Cameroon,4.0100999999999996"
"Canada,1.6323999999999979"
"Central African Republic,5.6095000000000015"
"Chad,5.6788000000000025"
"Chile,1.6188000000000005"
"China,1.4818"
"Colombia,1.8424000000000007"
"Comoros,3.2642999999999978"
"Congo,3.840299999999998"
"Congo (Democratic Republic of),5.3852"
"Costa Rica,1.8260000000000016"
"Cote d'Ivoire,3.9025999999999965"
"Croatia,1.561699999999999"
"Cuba,1.6958999999999989"
"Cyprus,1.5191999999999992"
"Denmark,1.7986999999999995"
"Dominica,1.9867000000000024"
"Dominican Republic,2.1034000000000015"
"Ecuador,1.8267000000000007"
"Egypt,2.5594333333099994"
"El Salvador,1.999000000000001"
"Equatorial Guinea,3.4529999999999985"
"Eritrea,3.469099999999998"
"Estonia,1.5609000000000008"
"Ethiopia,3.098200000000004"
"Fiji,2.2677999999900003"
"Finland,1.5635999999999992"
"France,1.8926000000000005"
"Gabon,3.271200000000001"
"Gambia,3.886700000000002"
"Georgia,1.7675000000000005"
"Germany,1.6383999999999999"
"Ghana,3.4591000000000043"
"Greece,1.4172000000000011"
"Guatemala,2.340333333330002"
"Guinea,4.433300000000002"
"Guyana,2.1747666666500005"
"Haiti,2.731700000000002"
"Honduras,2.1494666666499995"
"Hungary,1.5401999999999993"
"Iceland,1.8714999999999993"
"India,2.158966666649999"
"Indonesia,2.1576333333299984"
"Iran,1.8046000000000013"
"Iraq,2.909933333329999"
"Ireland,1.8433999999999986"
"Israel,2.472100000000001"
"Italy,1.4044999999999994"
"Jamaica,1.971100000000001"
"Japan,1.3424999999999983"
"Jordan,2.4108333333299985"
"Kazakhstan,2.3055000000000017"
"Kenya,3.1414000000000017"
"Kiribati,2.6285999999999974"
"Kuwait,1.925300000000001"
"Kyrgyzstan,2.2433999999799994"
"Laos,2.4734333333300014"
"Latvia,1.5831000000000006"
"Lebanon,2.05446666665"
"Lesotho,2.7114666666599994"
"Liberia,3.866300000000005"
"Lithuania,1.518400000000001"
"Luxembourg,1.5989999999999984"
"Madagascar,3.8039000000000027"
"Malawi,3.461099999999998"
"Malaysia,1.6979"
"Maldives,1.6950999999999996"
"Mali,5.569200000000006"
"Malta,1.5365999999999986"
"Mauritania,3.996499999999995"
"Mexico,2.0067000000000017"
"Moldova,1.726200000000002"
"Mongolia,2.1323333333299983"
"Montenegro,1.6848000000000007"
"Morocco,2.292299999999999"
"Mozambique,4.722700000000003"
"Myanmar,2.3484000000000007"
"Namibia,2.9512666666599983"
"Nepal,2.082533333330002"
"Netherlands,1.6732000000000005"
"New Zealand,1.7507999999999995"
"Nicaragua,2.047933333320002"
"Niger,6.381000000000006"
"Nigeria,4.748700000000003"
"North Macedonia,1.5182000000000004"
"Norway,1.7507000000000008"
"Oman,2.510999999999997"
"Pakistan,3.5544999999999978"
"Palau,2.2188999999999983"
"Panama,2.332699999999996"
"Papua New Guinea,3.3773666666600013"
"Paraguay,2.0231999999999988"
"Peru,2.1213666666599984"
"Philippines,2.529100000000001"
"Poland,1.519700000000002"
"Portugal,1.4915000000000018"
"Qatar,1.8427000000000024"
"Romania,1.6555999999999995"
"Russia,1.5899"
"Rwanda,3.4003999999999994"
"San Marino,1.4517999999999995"
"Sao Tome and Principe,3.366900000000001"
"Sauda Arabia,2.182999999999998"
"Senegal,3.798699999999997"
"Serbia,1.4968999999999986"
"Sierra Leone,3.742300000000004"
"Singapore,1.4151999999999993"
"Slovakia,1.6177999999999997"
"Slovenia,1.6260999999999988"
"South Africa,2.1755000000000035"
"South Korea,1.3318999999999988"
"South Sudan,3.6317999999999997"
"Spain,1.3252999999999988"
"Sri Lanka,2.1347999999999985"
"Sudan,4.377100000000002"
"Sweden,1.6958999999999997"
"Switzerland,1.5917999999999994"
"Syria,2.5635666666600003"
"Tajikistan,2.519233333319998"
"Tanzania,4.516199999999997"
"Thailand,1.5770000000000008"
"Timor-Leste,2.8747000000000016"
"Togo,4.247200000000003"
"Tonga,2.4838999999999984"
"Turkey,1.949100000000002"
"Turkmenistan,2.2137000000000007"
"Uganda,4.2890000000000015"
"Ukraine,1.5777000000000003"
"United Arab Emirates,1.5779999999999987"
"United Kingdom,1.769899999999999"
"United States,1.8067000000000004"
"Uruguay,1.7088999999999999"
"Uzbekistan,2.382399999989998"
"Venezuela,2.391799999999999"
"Vietnam,2.247199999999998"
"Yemen,4.557699999999998"
"Zambia,3.195400000000003"
"Zimbabwe,3.612299999999997"
